opcode 580, rd 22, rt 22, rn 22, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 54, braddr 16778966
opcode 1691, rd 10, rt 10, rn 21, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196725, braddr -10482006
opcode 1691, rd 13, rt 13, rn 22, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196726, braddr -10481971
opcode 1986, rd 11, rt 11, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131082, braddr 4194635
opcode 1986, rd 12, rt 12, rn 13, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131085, braddr 4194732
opcode 1880, rd 31, rt 31, rn 11, rm 12, shamt 0, aluimm 768, dtaddr 192, condaddr 24587, braddr -15990401
opcode 84, rd 10, rt 10, rn 4, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 4, braddr 138
opcode 1112, rd 0, rt 0, rn 19, rm 10, shamt 0, aluimm 640, dtaddr 160, condaddr 20499, braddr -16121248
opcode 1112, rd 1, rt 1, rn 19, rm 13, shamt 0, aluimm 832, dtaddr 208, condaddr 26643, braddr -15924639
opcode 37, rd 28, rt 28, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -36
opcode 580, rd 21, rt 21, rn 22, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 22, braddr 16777941
opcode 1691, rd 22, rt 22, rn 21, rm 0, shamt 1, aluimm -2047, dtaddr 0, condaddr 196661, braddr -10484042
opcode 580, rd 22, rt 22, rn 22, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 54, braddr 16778966
opcode 5, rd 8, rt 8, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -24
opcode 1986, rd 30, rt 30, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195230
opcode 1986, rd 19, rt 19, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227987
opcode 1986, rd 20, rt 20, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260756
opcode 1986, rd 21, rt 21, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293525
opcode 1986, rd 22, rt 22, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 135196, braddr 4326294
opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 40, aluimm 40, dtaddr 10, condaddr 1308, braddr 16819100
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 2047, rd 0, rt 0, rn 0, rm 0, shamt 0, aluimm -2048, dtaddr 0, condaddr -65536, braddr -2097152
